0xD4DF5C79, serious
0xC7810BB1, detour_d59b881d-fbf6-438d-9764-3e99a03d216c
0x172BA133, zm_utility
0x3D040FEE, give_start_weapon
0x2DC19561, __init__sytem__
0x8C87D8EB, __init__
0xC35E6AAB, init
0xFB4F96B5, on_player_connect
0xAEBCF025, on_player_spawned
0xF6EC05C8, twitch_chat_watcher
0x5D000A9E, give_bgb
0xABB2930, take_bgb
0x1E643D28, init_mega_bgb
0xE13A8F6, verify_bgb_use
0x738472D5, set_timescale
0x8F014F59, set_player_speed
0xD5394987, set_infinite_ammo
0xFFEA84D7, set_third_person
0xE46235AB, set_fov
0xB6B2FDFD, init_hud
0x5A7EDE78, remove_random_perk
0x2E6C266F, remove_all_perks
0x7DEC9F20, give_all_perks
0xEAA07D00, remove_perk
0x3F8B26A5, ignore_player
0xA483BE2A, low_gravity
0x4842C3D2, random_teleport
0x9A540C3E, teleport_validation
0xA312B120, stalingrad_sewer_check
0x96B9A3C3, stalingrad_boss_check
0x811955DE, perma_qr
0x3ACDDFF5, enter_beast_mode
0x1B8A48A9, exit_beast_mode
0x46FB0F2C, disable_ads
0xDA391300, disable_crouch
0x1D1364E7, enable_double_jump
0x42445E36, disable_jump
0x9FA8B6B6, disable_melee
0x8F0DCB08, disable_prone
0x1446DECD, disable_slide
0x559986EE, disable_sprint
0xD8228BC5, rapidly_misplace_character
0xAB383363, random_blackscreens
0x88EDC1F3, down_player
0x119F927E, spawn_drop_on_player
0x61B4AC28, random_gun_aat
0xAF1488BE, remove_aat
0xD4AA14A1, drop_weapon
0x9279976B, give_wonder_weapon
0x4035CE17, give_random_weapon
0x4308B942, upgrade_weapon
0xE725F861, downgrade_weapon
0x925D7E07, take_weapon_validation
0x3688320A, vehicle_watcher
0xE82F670A, watch_upgraded_staff
0xF2A8C430, give_riotshield
0xB627F9AC, give_hero_weapon
0x8AE67230, give_sword
0x66EB2BD0, give_rags
0x899C528C, give_skull
0x2887F77D, give_welp
0x5D3BB3FE, give_annihilator
0xBF0031A7, give_equipment
0x8CBA3816, spawn_special_boss
0xFF165001, update_zombie_movement
0x20878D31, lock_round
0x5DDE9DF0, unlock_round
0xED57B2B5, end_round
0xA6393DA6, increase_zombie_limit
0x7F45B62, create_turned_army
0x5B441A87, create_turned_zombie_friendly
0xE170FD3A, create_turned_zombie_enemy
0xA761EBA4, zombie_death_time_limit
0xD974570F, spawn_zombie
0x29D2956A, set_invisible_toggle_shoot
0x47E4EA77, set_invisible
0xCC8D07C4, zone_enabled_watcher
0xD5F1A5AF, zone_enabled_wait
0x90D4716E, add_enabled_points
0x9A1BB4DA, add_random_tp_locations
0xDF8E30ED, zone_monitor_origin
0x5AE5D3C2, zone_monitor_name
0xD2CBEC90, spawn_castle_panzer
0x2670D89E, mechzdamagecallback
0x601FF508, mechzweapondamagemodifier
0xC79A7E57, mechz_play_pain_audio
0xB024A4C, mechz_track_faceplate_damage
0x378D99AF, mechz_turn_off_headlamp
0xBD447F24, mechzgoberserk
0xFF3F6E, mechz_track_powercap_cover_damage
0xB7934265, mechz_track_rshoulder_armor_damage
0x75493757, mechz_track_lshoulder_armor_damage
0x68A38E0, mechz_track_lknee_armor_damage
0x1F360652, mechz_track_rknee_armor_damage
0x81C30BAA, mechz_track_powercap_damage
0x30B61B5F, mechzendberserk
0xA4BE3C4F, hide_part
0xFF20B3BF, spawn_genesis_margwa
0x53CE09A, margwasetheadhealth
0xC8DE35E5, function_8d578a58_2
0xF3212684, spawn_genesis_panzer
0x53C37648, spawn_mechz
0xEEC003E6, spawn_island_thrasher
0xCBE90295, show_hit_marker
0xDDA81F15, sqr
0x1DB5876C, is_true
0x608B0C06, var_default
0xB2E2E19, check_point_in_playable_area
0xBA58FBCB, spawn_stalingrad_mangler
0x5A23D5BB, get_favorite_enemy
0x7A5F46D2, spawn_stalingrad_valkyrie
0xAB6DA2E2, sentinel_intro
0xD5314E71, sentinel_introcompleted
0xC28FA12C, sentinel_navigationstandstill
0xC06CC462, sentinel_navigatetheworld
0x8A02F3D0, sentinel_killmyself
0xA0AC642F, sentinel_pathupdateinterrupt
0x7AD16DC4, sentinel_shouldchangesentinelposition
0x7E57F99C, sentinel_isinsideengagementdistance
0x85F552EF, sentinel_getengagementdistmin
0x1AF7DD91, sentinel_getengagementdistmax
0x75556350, sentinel_getengagementheightmin
